Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hanninen, Kaj; Maki-Turja, Jukka; Nolin, Mikael; Lindberg, Mats; Lundback, John; Lundback, Kurt-Lennart; ",The Rubus component model for resource constrained real-time systems,2008 International Symposium on Industrial Embedded Systems,,,177-183,2008,IEEE
"Campeanu, Gabriel; Carlson, Jan; Sentilles, Séverine; Mubeen, Saad; ",Extending the Rubus component model with GPU-aware components,2016 19th International ACM SIGSOFT Symposium on Component-Based Software Engineering (CBSE),,,59-68,2016,IEEE
"Bucaioni, Alessio; Cicchetti, Antonio; Ciccozzi, Federico; Mubeen, Saad; Sjödin, Mikael; ",A metamodel for the rubus component model: Extensions for timing and model transformation from EAST-ADL,IEEE Access,5,,9005-9020,2016,IEEE
"Bureš, Tomáš; Carlson, Jan; Crnkovic, Ivica; Sentilles, Séverine; Vulgarakis, Aneta; ",ProCom–the Progress Component Model Reference Manual,"Mälardalen University, Västerås, Sweden",,,,2008,
"Bucaioni, Alessio; Mubeen, Saad; Ciccozzi, Federico; Cicchetti, Antonio; Sjödin, Mikael; ",Modelling multi-criticality vehicular software systems: evolution of an industrial component model,Software and Systems Modeling,19,5,1283-1302,2020,Springer
"Bucaioni, Alessio; Cicchetti, Antonio; Sjödin, Mikael; ",Towards a Metamodel for the Rubus Component Model.,ModComp@ MoDELS,,,46-56,2014,Citeseer
"Mubeen, Saad; Bud, Harold; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; ",Provisioning of predictable embedded software in the vehicle industry: The rubus approach,2017 IEEE/ACM 4th International Workshop on Software Engineering Research and Industrial Practice (SER&IP),,,3-9,2017,IEEE
"Hansson, Hans; Åkerholm, Mikael; Crnkovic, Ivica; Torngren, Martin; ",SaveCCM-a component model for safety-critical real-time systems,"Proceedings. 30th Euromicro Conference, 2004.",,,627-635,2004,IEEE
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Extraction of end-to-end timing model from component-based distributed real-time embedded systems,"Embedded Systems Week, Oct. 9-14 2011, Taipei, Taiwan",,,,2011,
"Mubeen, Saad; Gålnander, Mattias; Bucaioni, Alessio; Lundbäck, John; Lundbäck, Kurt-Lennart; ",Timing verification of component-based vehicle software with rubus-ICE: end-user's experience,2018 IEEE/ACM 1st International Workshop on Software Qualities and their Dependencies (SQUADE),,,37-38,2018,IEEE
"Bucaioni, Alessio; Mubeen, Saad; Lundbäck, John; Lundbäck, Kurt-Lennart; Mäki-Turja, Jukka; Sjödin, Mikael; ",Demonstrator for modeling and development of component-based distributed real-time systems with rubus-ice,Open Demo Session of Real-Time Systems located at Real Time Systems Symposium (RTSS),,,,2013,
"Hänninen, Kaj; Mäki-Turja, Jukka; Nolin, Mikael; Lindberg, Mats; Lundbäck, John; Lundbäck, Kurt-Lennart; ",Supporting engineering requirements in the rubus component model,,,,,2008,Citeseer
"Mubeen, Saad; Maki-Turja, Jukka; Sjodin, Mikael; Carlson, Jan; ",Analyzable modeling of legacy communication in component-based distributed embedded systems,2011 37th EUROMICRO Conference on Software Engineering and Advanced Applications,,,229-238,2011,IEEE
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ","Implementation of holistic response-time analysis in rubus-ICE: preliminary findings, issues and experiences","The 32nd IEEE Real-Time Systems Symposium (RTSS), WIP Session",,,9-12,2011,
"SJÖDIN, MIKAEL; ",A Metamodel for the Rubus Component Model: Extensions for Timing and Model Transformation From EAST-ADL,,,,,,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Exploring options for modeling of real-time network communication in an industrial component model for distributed embedded systems,Proceedings of the International Conference on Human-centric Computing 2011 and Embedded and Multimedia Computing 2011,,,441-458,2011,Springer
"Bucaioni, Alessio; Mubeen, Saad; Ciccozzi, Federico; Cicchetti, Antonio; Sjödin, Mikael; ",Technology-preserving transition from single-core to multi-core in modelling vehicular systems,European Conference on Modelling Foundations and Applications,,,285-299,2017,Springer
"Bucaioni, Alessio; Becker, Matthias; Lundbäck, John; Mackamul, Harald; ",From amalthea to rcm and back: a practical architectural mapping scheme,2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,,537-544,2020,IEEE
"Aybek, Mehmet Onur; Jordao, Rodolfo; Lundbäck, John; Lundbäck, Kurt-Lennart; Becker, Matthias; ",From the Synchronous Data Flow Model of Computation to an Automotive Component Model,2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),,,1-8,2021,IEEE
"Hanninen, Kaj; Maki-Turja, Jukka; Sandberg, Staffan; Lundback, John; Lindberg, Mats; Nolin, Mikael; Lundback, Kurt-Lennart; ",Framework for real-time analysis in Rubus-ICE,2008 IEEE International Conference on Emerging Technologies and Factory Automation,,,782-788,2008,IEEE
"Bucaioni, Alessio; Mubeen, Saad; Lundbäck, Jhon; Lundbäck, Kurt-Lennart; Mäki-Turja, Jukka; Sjödin, Mikael; ",From modeling to deployment of component-based vehicular distributed real-time systems,2014 11th International Conference on Information Technology: New Generations,,,649-654,2014,IEEE
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ","Support for end-to-end response-time and delay analysis in the industrial tool suite: Issues, experiences and a case study",Computer Science and Information Systems,10,1,453-482,2013,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Investigating techniques to model real-time network communication for the industrial component model,Journal of Information,16,7 B,5183-5196,2013,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Communications-oriented development of component-based vehicular distributed real-time embedded systems,Journal of Systems Architecture,60,2,207-220,2014,Elsevier
"Carlson, Jan; Feljan, Juraj; Mäki-Turja, Jukka; Sjödin, Mikael; ",Deployment modelling and synthesis in a component model for distributed embedded systems,2010 36th EUROMICRO Conference on Software Engineering and Advanced Applications,,,74-82,2010,IEEE
"Mubeen, Saad; Ashjaei, Mohammad; Nolte, Thomas; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; ",Modeling of end-to-end resource reservations in component-based vehicular embedded systems,2016 42th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,,283-292,2016,IEEE
"Moller, Anders; Akerholm, Mikael; Fredriksson, Johan; Nolin, Mikael; ",Evaluation of component technologies with respect to industrial requirements,"Proceedings. 30th Euromicro Conference, 2004.",,,56-63,2004,IEEE
"Campeanu, Gabriel; Carlson, Jan; Sentilles, Séverine; ",The realization of flexible GPU components in Rubus,Technical Report,,,,2019,Mälardalen University
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Tracing event chains for holistic response-time analysis of component-based distributed real-time systems,ACM SIGBED Review,8,3,48-51,2011,"ACM New York, NY, USA"
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Implementation of end-to-end latency analysis for component-based multi-rate real-time systems in Rubus-ICE,2012 9th IEEE International Workshop on Factory Communication Systems,,,165-168,2012,IEEE
"Ashjaei, Mohammad; Mubeen, Saad; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; Nolte, Thomas; ",Modeling and Timing Analysis of Ethernet-AVB in Rubus-ICE,,,,,,
"Mubeen, Saad; Sjödin, Mikael; Mäki-Turja, Jukka; ",Translating Timing Constraints during Vehicular Distributed Embedded Systems Development.,ModComp@ MoDELS,,,57-66,2014,Citeseer
"Mubeen, Saad; Nolte, Thomas; Sjödin, Mikael; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; ",Modeling of legacy distributed embedded systems at vehicle abstraction level,2016 19th International ACM SIGSOFT Symposium on Component-Based Software Engineering (CBSE),,,7-12,2016,IEEE
"Campeanu, Gabriel; Carlson, Jan; Sentilles, Séverine; ",Allocation optimization for component-based embedded systems with GPUs,2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,,101-110,2018,IEEE
"Du, Shaohua; Yu, Dong; Hu, Yi; Huang, Yan; ",A component model and layered system architecture for reconfigurable CNC systems,2009 International Conference on Information and Automation,,,922-927,2009,IEEE
"Möller, Anders; Åkerholm, Mikael; Fredriksson, Johan; Nolin, Mikael; ",Software component technologies for real-time systems,WiP Proceedings in Real-Time Systems Symposium (RTSS),,,49-51,2003,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Component-based vehicular distributed embedded systems: End-to-end timing models extraction at various abstraction levels,,,,,2014,
"Aybek, Mehmet Onur; ",Transforming Models of Computation to Automotive Component Models,,,,,2020,
"Gålnander, Mattias; Lundbäck, Kurt-Lennart; Sjödin, Mikael; ",Provisioning of Deterministic and Non-Deterministic Services for Vehicles: The Rubus Approach,,,,,,
"Mubeen, Saad; Bucaioni, Alessio; Mäki-Turja, Jukka; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; Sjödin, Mikael; ",Provisioning of Deterministic and Non-Deterministic Services for Vehicles: The Rubus Approach,Workshop CARS 2016-Critical Automotive applications: Robustness & Safety,,,,2016,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Towards translation of timing constraints during vehicular embedded systems development,"International Conference on Component-Based Software Engineering and Software Architecture (CompArch)(Springer, Berlin, 2014)",,,,2014,
"Kruglyak, Andrey; ",Formal aspects of component-based design of embedded real-time systems,International Symposium on Formal Aspects of Component Software: 14/09/2011-16/09/2011,,,,2011,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Modeling of Legacy Communication in Component-Based Distributed Embedded Systems,,,,,,
"Lawson Konsult, AB; ",Provisioning of Predictable Embedded Software in the Vehicle Industry: The Rubus Approach,,,,,,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Implementation of holistic response-time analysis in rubus-ice,,,,,2011,
"Mubeen, Saad; ",Modeling and Timing Analysis of Industrial Component-Based Distributed Real-time Embedded Systems,,,,,2012,Mälardalen University
"Du, Shaohua; Yu, Dong; ",Research on component technology for reconfigurable cnc system,2009 International Conference on Computational Intelligence and Software Engineering,,,1-6,2009,IEEE
"Möller, Anders; Åkerholm, Mikael; Fredriksson, Johan; Nolin, Mikael; ",An industrial evaluation of component technologies for embedded-systems,MRTC RePort ISSN,,,1404-3041,2004,Citeseer
"Bucaioni, Alessio; Becker, Matthias; ",Enabling automated integration of architectural languages: An experience report from the automotive domain,Journal of Systems and Software,184,,111106,2022,Elsevier
"Bucaioni, Alessio; Ciccozzi, Federico; Cicchetti, Antonio; Mubeen, Saad; Sjödin, Mikael; Gålnander, Mattias; Lundbäck, John; Lundbäck, Kurt-Lennart; ",Demonstrating Development of Software Architecture of Multi-core Real-time Vehicular Systems,,,,,,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Extracting End-to-End Timing Models from Component-Based Distributed Embedded Systems,Embedded Systems Development,,,155-169,2014,Springer
"Bucaioni, Alessio; ",A Model-driven Development Approach with Temporal Awareness for Vehicular Embedded Systems,,,,,2017,Mälardalen University
"Ashjaei, Mohammad; Mubeen, Saad; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; Nolte, Thomas; ",Modeling and timing analysis of vehicle functions distributed over switched ethernet,IECON 2017-43rd Annual Conference of the IEEE Industrial Electronics Society,,,8419-8424,2017,IEEE
"Hänninen, Kaj; Mäki-Turja, Jukka; Sandberg, Staffan; Lundbäck, John; Lindberg, Mats; Nolin, Mikael; Lundbäck, Kurt-Lennart; ",Introducing a plug-in framework for real-time analysis in rubus-ice,ISRN MDH-MRTC-229/2008-1-SE,,,,2008,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Modeling of Legacy Communication in Distributed Embedded Systems,"2nd Workshop on Model Based Engineering for Embedded Systems Design (M-BED 2011), March 18, 2011, Alpexpo-Grenoble, France",,,,2011,
"Mubeen, Saad; ",Towards Communications-Oriented Development of Component-Based Vehicular Distributed Embedded Systems--a Ph. D. Research Proposal,"19th International Doctoral Symposium on Components and Architecture (WCOP) WCOP 2014, 30 Jun-3 Jul 2014, Lille, France",,,,2014,
"Lawson, Harold Bud; Lundbäck, Kurt-Lennart; ",Provisioning of Highly Reliable Real-Time Systems,IFIP Conference on History of Nordic Computing,,,323-330,2010,Springer
"Mubeen, Saad; Ashjaei, Mohammad; Nolte, Thomas; Lundbäck, John; Lundbäck, Kurt-Lennart; ",Integrating response-time analysis for heterogeneous networks with Rubus Analysis Framework: Challenges and preliminary solutions,2015 IEEE 20th Conference on Emerging Technologies & Factory Automation (ETFA),,,1-4,2015,IEEE
"Mubeen, Saad; Maki-Turja, Jukka; Sjodin, Mikael; ",Towards Modeling and Holistic Timing Analysis of Industrial Component-Based DRE Systems,2012 IEEE 19th International Conference and Workshops on Engineering of Computer-Based Systems,,,283-292,2012,IEEE
"Houtan, Bahar; Aybek, Mehmet Onur; Ashjaei, Mohammad; Daneshtalab, Masoud; Sjödin, Mikael; Mubeen, Saad; ",End-to-end Timing Model Extraction from TSN-Aware Distributed Vehicle Software,,,,,,
"Ritafaria, D; ",Embedded Software Component Technologies for Real time Systems-An Industrial Perspective,,,,,,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",End-to-end Timing Challenges in Seamless Tool Chain Development for Vehicular Embedded Real-Time Systems,Work-in-Progress Session,,,21,2013,
"Mubeen, Saad; ",Communications-oriented development of component-based vehicular distributed embedded systems: a ph. d. research proposal,Proceedings of the 19th international doctoral symposium on Components and architecture,,,1-6,2014,
"Campeanu, Gabriel; ",Facilitating Component Reusability in Embedded Systems with GPUs,International Conference on Software Engineering and Formal Methods,,,287-301,2018,Springer
"Crnkovic, Ivica; Chaudron, Michel; Sentilles, Séverine; Vulgarakis, Aneta; ",A classification framework for component models,Software Engineering Research and Practice in Sweden,,,3,2007,Citeseer
"Bucaioni, Alessio; ",A Model-based Approach for Vehicular Systems,,,,,2017,"Mälardalen University, MRTC"
"Mubeen, Saad; Nolte, Thomas; Sjödin, Mikael; Lundbäck, John; Lundbäck, Kurt-Lennart; ",Supporting timing analysis of vehicular embedded systems through the refinement of timing constraints,Software & Systems Modeling,18,1,39-69,2019,Springer
"Bucaioni, Alessio; Cicchetti, Antonio; Ciccozzi, Federico; Eramo, Romina; Mubeen, Saad; Sjödin, Mikael; ",Anticipating implementation-level timing analysis for driving design-level decisions in east-adl,"International Workshop on Modelling in Automotive Software Engineeringco-located with ACM/IEEE 18th International Conference on Model Driven Engineering Languages and Systems (MODELS 2015), Ottawa, Canada. September 27, 2015",,,63-72,2015,
"Campeanu, Gabriel; Mubeen, Saad; ",Improving run-time memory utilization of component-based embedded systems with non-critical functionality,ICSEA 2017,,,150,2017,
"Bucaioni, Alessio; Addazi, Lorenzo; Cicchetti, Antonio; Ciccozzi, Federico; Eramo, Romina; Mubeen, Saad; Sjödin, Mikael; ",Moves: A model-driven methodology for vehicular embedded systems,IEEE Access,6,,6424-6445,2018,IEEE
"Åkerholm, Mikael; Fredriksson, Johan; ",A sample of component technologies for embedded systems,MRTC Technical Report,,,,2004,
"Campeanu, Gabriel; Carlson, Jan; Sentilles, Séverine; ",A GPU-aware component model extension for heterogeneous embedded systems,The Tenth International Conference on Software Engineering Advances,,,,2015,
"Díaz, Manuel; Garrido, Daniel; Llopis, Luis; Rus, Francisco; Troya, José M; ",UM-RTCOM: An analyzable component model for real-time distributed systems,Journal of Systems and Software,81,5,709-726,2008,Elsevier
"Bucaioni, Alessio; Mubeen, Saad; ",Bringing MoVES Towards Consolidated Electrical/Electronic Automotive Architectures,"Work in Progress Session of the Euromicro DSD/SEAA 2019 conference WIP-SEAA, 28 Aug 2019, Chalkidiki, Greece",,,,2019,
"Lednicki, Luka; ",Support for hardware devices in component models for embedded systems,International Doctoral Symposium on Software Engineering and Advanced Applications,,,,2011,"Oulu, Finland"
"Bucaioni, Alessio; ",Raising Abstraction of Timing Analysis through Model-Driven Engineering,,,,,2015,Mälardalen University
"Mubeen, Saad; Bucaioni, Alessio; ",Modeling of vehicular distributed embedded systems: transition from single-core to multi-core,Information Technology-New Generations,,,607-611,2018,Springer
"Mubeen, Saad; Ashjaei, Mohammad; Sjödin, Mikael; ",Holistic modeling of time sensitive networking in component-based vehicular embedded systems,2019 45th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,,131-139,2019,IEEE
"Marin, Cristina; Desertot, Mikael; ",Sensor bean: a component platform for sensor-based services,Proceedings of the 3rd international workshop on Middleware for pervasive and ad-hoc computing,,,1-8,2005,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Translating end-to-end timing requirements to timing analysis model in component-based distributed real-time systems,ACM SIGBED Review,9,4,17-20,2012,"ACM New York, NY, USA"
"Borde, Etienne; Carlson, Jan; ","Towards verified synthesis of procom, a component model for real-time embedded systems",Proceedings of the 14th international ACM Sigsoft symposium on Component based software engineering,,,129-138,2011,
"Ashjaei, Mohammad; Khalilzad, Nima; Mubeen, Saad; ","Modeling, designing and analyzing resource reservations in distributed embedded systems",Real-Time Modelling and Processing for Communication Systems,,,203-256,2018,Springer
"Mubeen, Saad; ",Communications-Oriented Modeling and Development of Vehicular Distributed Embedded Systems,,,,,2014,Mälardalen University
"Mubeen, Saad; Nolte, Thomas; ",On timing analysis of component-based vehicular distributed embedded systems at various abstraction levels,2016 13th Working IEEE/IFIP Conference on Software Architecture (WICSA),,,277-278,2016,IEEE
"Bucaioni, Alessio; Lundbäck, John; Pelliccione, Patrizio; Mubeen, Saad; ",Architecting and Analysing Connected Autonomous Vehicles,2020 IEEE International Conference on Software Architecture Companion (ICSA-C),,,5-6,2020,IEEE
"Yin, Hang; Qin, Hongwan; Carlson, Jan; Hansson, Hans; ",Mode switch handling for the ProCom component model,Proceedings of the 16th International ACM Sigsoft symposium on Component-based software engineering,,,13-22,2013,
"Campeanu, Gabriel; Carlson, Jan; Sentilles, Séverine; ",Optimized Realization of Software Components with Flexible OpenCL Functionality.,ENASE,,,77-88,2018,
"Crnkovic, Ivica; Sentilles, Séverine; Vulgarakis, Aneta; Chaudron, Michel RV; ",A classification framework for software component models,IEEE Transactions on Software Engineering,37,5,593-615,2010,IEEE
"Bureš, Tomáš; Carlson, Jan; Sentilles, Séverine; Vulgarakis, Aneta; ",A component model family for vehicular embedded systems,2008 The Third International Conference on Software Engineering Advances,,,437-444,2008,IEEE
"Bucaioni, Alessio; Mubeen, Saad; Cicchetti, Antonio; Sjödin, Mikael; ",Exploring timing model extractions at east-adl design-level using model transformations,2015 12th International Conference on Information Technology-New Generations,,,595-600,2015,IEEE
"Mubeen, Saad; Mäki-Turja, Jukka; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; Sjödin, Mikael; Lawson, Bud; ",Academic-industrial Collaboration in the Vehicle Software Domain: Experiences and End-user Perspective,CARS 2016-Critical Automotive applications: Robustness & Safety,,,,2016,
"Mubeen, Saad; ",Developing predictable embedded systems in the vehicle industry: Results and lessons learned,2019 IEEE International Conference on Industrial Technology (ICIT),,,1063-1065,2019,IEEE
"Campeanu, Gabriel; Mubeen, Saad; ",Scavenging Run-time Resources to Boost Utilization in Component-based Embedded Systems with GPUs,Intl. J. Adv. Software,11,1,159-169,2018,
"Möller, Anders; Fröberg, Joakim; Nolin, M; ",What are the needs for components in vehicular systems?-An industrial perspective,proceedings of the WiP session of the 15th Euromicro Conference on Real-Time Systems,,,,2003,
"Seceleanu, Cristina; Crnkovic, Ivica; ",Component models for reasoning,Computer,46,11,40-47,2013,IEEE
"Bucaioni, Alessio; Lundbäck, John; Sjödin, Mikael; Mubeen, Saad; ",On Model-Based Development of Embedded Software for Evolving Automotive E/E Architectures,17th International Conference on Information Technology–New Generations (ITNG 2020),,,693-699,2020,Springer
"No, Assignment; ",Research Planning,,,,,1982,Citeseer
"Lednicki, Luka; Feljan, Juraj; Carlson, Jan; Zagar, Mario; ",Adding support for hardware devices to component models for embedded systems,Proceedings of the 6th International Conference on Software Engineering Advances,,,149-154,2011,
"Mubeen, Saad; Sjödin, Mikael; Mäki-Turja, Jukka; ",Supporting early modeling and end-to-end timing analysis of vehicular distributed real-time applications,,,,,2012,Universidad Carlos III de Madrid
"Bucaioni, Alessio; ",Raising Abstraction in Timing Analysis for Vehicular Embedded Systems through Model-Driven Engineering.,STAF Doctoral Symposium,,,11-20,2015,
"Feljan, Juraj; ",Research Planning Course Assignment 3 Design-time verification of component-based embedded software systems with respect to extra-functional properties,,,,,2009,Citeseer
"Bucaioni, Alessio; Cicchetti, Antonio; Ciccozzi, Federico; Mubeen, Saad; Pierantonio, Alfonso; Sjödin, Mikael; ",Towards design-space exploration of component chains in vehicle software,42nd Euromicro Conference series on Software Eneineerina and Advanced Applications.(WiP),,,,2016,
"Feljan, Juraj; Carlson, Jan; Zagar, Mario; ",Realizing a domain specific component model with javabeans,8th Conference on Software Engineering Research and Practice in Sweden (SERPS 2008),,,,2008,
"Waters, HL; ",Analysis of a Communications System Using Symbolic Simulation,"The 24th Southeastern Symposium on System Theory and The 3rd Annual Symposium on Communications, Signal Processing Expert Systems, and ASIC VLSI Design",,,"53, 54, 55, 56, 57-53, 54, 55, 56, 57",1992,IEEE Computer Society
"Ferko, Enxhi; Jasharllari, Igli; Bucaioni, Alessio; Ashjaei, Mohammad; Mubeen, Saad; ",An Evaluation Framework for Modeling Languages Supporting Predictable Vehicular Software Systems,ITNG 2022 19th International Conference on Information Technology-New Generations,,,47-55,2022,Springer
"Bucaioni, Alessio; Mubeen, Saad; ",Moves meets the real world automotive benchmarks,2020 IEEE International Conference on Industrial Technology (ICIT),,,243-248,2020,IEEE
"Bouyssounouse, Bruno; Sifakis, Joseph; ",Component models and integration platforms: landscape,Embedded Systems Design,,,160-193,2005,Springer
"MICLAUS, ANTONIU; PETRESCU, SERBAN; VESCAN, ANDREEA; ",EMBEDDED SYSTEMS WITH COMPONENT-BASED GPU SUPPORT: A STATE OF THE ART,UNIVERSITATIS BABEŞ-BOLYAI INFORMATICA,,,67,,
"Neto, Luis; Gonçalves, Gil; ",Component models for embedded systems in industrial cyber-physical systems,The International Symposium on Intelligent Manufacturing Environments InManEnv,,,,2018,
"Mubeen, Saad; Nolte, Thomas; Lundbäck, Kurt-Lennart; ",Developing predictable vehicular distributed embedded systems on multi-core,Information Technology: New Generations,,,1273-1277,2016,Springer
"MICLĂUŞ, ANTONIU; PETRESCU, ŞERBAN; VESCAN, ANDREEA; ",EMBEDDED SYSTEMS WITH COMPONENT-BASED GPU SUPPORT: A STATE OF THE ART.,"Studia Universitatis Babes-Bolyai, Informatica",64,1,,2019,
"Bucaioni, Alessio; Dimic, Vlatko; Gålnander, Mattias; Lönn, Henrik; Lundbäck, John; ",Transferring a model-based development methodology to the automotive industry,2021 22nd IEEE International Conference on Industrial Technology (ICIT),1,,762-767,2021,IEEE
"Hjertström, Andreas; ",Licentiate Proposal INCENSE: Information-Centric Development of Component-Based Embedded Real-Time Systems.,,,,,,Citeseer
"Mubeen, Saad; Nolte, Thomas; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; ",Refining timing requirements in extended models of legacy vehicular embedded systems using early end-to-end timing analysis,Information Technology: New Generations,,,497-508,2016,Springer
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Towards extraction of interoperable timing models from component-based vehicular distributed embedded systems,2014 11th International Conference on Information Technology: New Generations,,,655-659,2014,IEEE
"Campeanu, Gabriel; ",Parallel Execution Optimization of GPU-aware Components in Embedded Systems.,SEKE,,,135-141,2017,
"Mubeen, Saad; Maki-Turja, Jukka; Sjodin, Mikael; ","Support for holistic response-time analysis in an industrial tool suite: Implementation issues, experiences and a case study",2012 IEEE 19th International Conference and Workshops on Engineering of Computer-Based Systems,,,210-221,2012,IEEE
"Bucaioni, Alessio; ",Early Timing Analysis of Vehicular Systems: the Road from Single-core to Multi-core.,MoDELS (Doctoral Symposium),,,,2016,
"Campeanu, Gabriel; Carlson, Jan; Sentilles, Séverine; ",Component-based development of embedded systems with GPUs,Journal of Systems and Software,161,,110488,2020,Elsevier
"Ciccozzi, Federico; Carlson, Jan; Pelliccione, Patrizio; Tivoli, Massimo; ",Editorial to theme issue on model-driven engineering of component-based software systems,Software & Systems Modeling,18,1,7-10,2019,Springer
"Anjorin, Anthony; Pierantonio, Alfonso; Trujillo, Salvador; Ortiz, Huascar Espinoza; ",Modeling research in recent years: special section on ECMFA 2017 and ECMFA 2018,Software and Systems Modeling,19,5,1055-1056,2020,Springer
